,variance,k,run
0,0.0001384409954951878,100.0,0.0
1,0.00012240102796644083,100.0,1.0
2,0.0001498974924181728,100.0,2.0
3,0.00013260429595545156,100.0,3.0
4,0.00014210375223747221,100.0,4.0
5,0.0001366755035123249,100.0,5.0
6,0.0001401911195913428,100.0,6.0
7,0.00012384693206683148,100.0,7.0
8,0.00012417582593136586,100.0,8.0
9,0.00012094964883610474,100.0,9.0
10,0.0001490588634351548,100.0,10.0
11,0.00012592223482276908,100.0,11.0
12,0.0001078045949246194,100.0,12.0
13,0.00013142028148085226,100.0,13.0
14,0.0001341077693668605,100.0,14.0
15,0.00013562490788922416,100.0,15.0
16,0.00011039870167317218,100.0,16.0
17,0.000125400279654572,100.0,17.0
18,0.00012781609762442872,100.0,18.0
19,0.00014690054866684182,100.0,19.0
20,0.00013774541390413275,100.0,20.0
21,0.00011703042697427328,100.0,21.0
22,0.0001296966713181675,100.0,22.0
23,0.00012614333095860804,100.0,23.0
24,0.00011497810880405845,100.0,24.0
25,0.00013120537464587814,100.0,25.0
26,0.00012494535794185124,100.0,26.0
27,0.00011212830291729127,100.0,27.0
28,0.00011800650502379059,100.0,28.0
29,0.00011761337558990908,100.0,29.0
30,0.0006769142811776235,10.0,0.0
31,0.0010979505678399332,10.0,1.0
32,0.0006403044878445784,10.0,2.0
33,0.0008678682586446952,10.0,3.0
34,0.0009602160159530991,10.0,4.0
35,0.0008738957751824489,10.0,5.0
36,0.0008261192859352971,10.0,6.0
37,0.0006419830843566758,10.0,7.0
38,0.0012679633182173216,10.0,8.0
39,0.0008623922808777163,10.0,9.0
40,0.0007581254353701368,10.0,10.0
41,0.0008211093716188625,10.0,11.0
42,0.0006644642654411072,10.0,12.0
43,0.0012216744205276163,10.0,13.0
44,0.000686950100701237,10.0,14.0
45,0.0007737408027749387,10.0,15.0
46,0.001039063399996805,10.0,16.0
47,0.0008565412843995854,10.0,17.0
48,0.0007419953082775697,10.0,18.0
49,0.0007748291024035757,10.0,19.0
50,0.0009449753900204597,10.0,20.0
51,0.0011007026989622787,10.0,21.0
52,0.0008442812716406643,10.0,22.0
53,0.0004408548750492652,10.0,23.0
54,0.0008087956233137269,10.0,24.0
55,0.0016037598032963573,10.0,25.0
56,0.0009939021254599576,10.0,26.0
57,0.0007714475613354477,10.0,27.0
58,0.0012765224206435473,10.0,28.0
59,0.0005249476051859065,10.0,29.0
60,0.007761909520482265,1.0,0.0
61,0.009099766745079452,1.0,1.0
62,0.009928871611916051,1.0,2.0
63,0.00672528897830181,1.0,3.0
64,0.016464293092957435,1.0,4.0
65,0.007845522055907462,1.0,5.0
66,0.008507332547808746,1.0,6.0
67,0.013235004545500521,1.0,7.0
68,0.005179343338389251,1.0,8.0
69,0.007768759148050106,1.0,9.0
70,0.006294172018553957,1.0,10.0
71,0.010498659328779384,1.0,11.0
72,0.011728435945806547,1.0,12.0
73,0.012677273032463512,1.0,13.0
74,0.006170699235854373,1.0,14.0
75,0.01834086432816096,1.0,15.0
76,0.009960010218677146,1.0,16.0
77,0.006919915157850149,1.0,17.0
78,0.01452454395243836,1.0,18.0
79,0.014831826258422099,1.0,19.0
80,0.007618919870681067,1.0,20.0
81,0.013079328105765127,1.0,21.0
82,0.010053045711503268,1.0,22.0
83,0.012958856210777952,1.0,23.0
84,0.00761064496112956,1.0,24.0
85,0.007825914639449155,1.0,25.0
